mat-pervaya-kategoriya | пример | линейная-алгебра | методика-курса | Mat: объекты — натуральные числа, стрелки n→m — матрицы m×n, композиция — умножение; аксиомы зал уже проверил в школе | средняя | новый-взгляд | нет | нет | категория | несёт-язык | мат · берёт · черновик | mat-ne-nuzhna-zapis; mat-biproduct; kategoriya-opredelenie; set-kategoriya
zavisimaya-vektornoe-pole | пример | геометрия | физика | Векторное поле на сфере: каждой точке — касательный в ней вектор; слой не растёт, а наклоняется — на плоскости пример не работает | высокая-геометричная | новый-взгляд | К2 | аналогия | за-бортом | контекст | мат · берёт/приручение · seed | zachem-zavisimaya-funkciya; zavisimoe-proizvedenie; scena-zavisimaya-korobka; pf-est-pi-tip; mot-sloi-spektr
zavisimaya-vybor-resheniya | пример | линейная-алгебра | — | Выбрать по решению Ax=b для каждой правой части — зависимая функция; псевдообратная Мура–Пенроуза и есть такое сечение | средняя | новый-взгляд | К2 | формализовать | за-бортом | контекст | мат · берёт · seed | mot-sloi-reshenija-sistemy; lawvere-stacking-fibering; zachem-zavisimaya-funkciya; zavisimoe-proizvedenie; riehl-lccc-donor
zavisimaya-dokazatelstvo-vseh | пример | логика | информатика-и-типы | Доказательство «для всех n верно X(n)» — зависимая функция: каждому n свой тип доказательства; мост к КХЛ, но близко к кругу | сухая | нет | К2 | формализовать | КХЛ | за-потолком | мат · берёт/приручение · seed | pf-est-pi-tip; zachem-zavisimaya-funkciya; curry-howard-lambek; chl; zavisimoe-proizvedenie; cep-univalentnost
arifmetika-zavisimogo-proizvedeniya | утверждение | комбинаторика | теория-множеств | $|\prod_x A_x| = \prod_x |A_x|$ — последняя запись словаря категорификации: произведение разных множителей против степени | средняя | новый-взгляд | К2 | счёт | произведение | под-ревизией | мат · берёт · seed | kategorifikaciya-arifmetiki; zakon-stepenej-karrirovanie; zavisimoe-proizvedenie; sechenie-neset-vybor; zachem-zavisimaya-funkciya
sechenie-neset-vybor | утверждение | теория-множеств | комбинаторика | У конечного семейства сечение существует ⟺ ни один слой не пуст; число сечений = произведение размеров слоёв. Вход в аксиому выбора | средняя | новый-взгляд | К2 | счёт | произведение | контекст | мат · берёт/приручение · seed | zavisimoe-proizvedenie; lawvere-stacking-fibering; arifmetika-zavisimogo-proizvedeniya; pf-est-pi-tip
hovanov-vidit-uzel | пример | топология | — | Числовой многочлен Джонса тривиальный узел не различает, а его категорификация — гомологии Хованова — детектирует | высокая-геометричная | незнакомый-объект | К1+К2 | классиф | функтор | несёт-язык | нп · берёт · seed | invariant-vynosit-verdikt; dekategorifikaciya-teryaet; kategorifikaciya-arifmetiki; raskraska-3-uzla-verdikt; gomologii-grafa-funktor-vect; functor
uravnitel-teoriya-i-eksperiment | пример | теория-множеств | прикладное | Эквалайзер двух стрелок вход→выход — это множество входов, где ТЕОРИЯ и ЭКСПЕРИМЕНТ дают одно и то же | средняя | нет | К3 | формализовать | универсальное-свойство | несёт-язык | нп · берёт · seed | uravnitel-opredelenie; uravnitel-okruzhnost; universalnoe-svojstvo; predel-opredelenie
pullback-rubashki-bryuki | пример | теория-множеств | — | Pullback в Set = пары «рубашка и брюки одного цвета»; та же интуиция — танцевальные пары одного роста | средняя | нет | нет | нет | универсальное-свойство | контекст | нп · берёт · seed | pullback-podstanovka; universalnoe-svojstvo; uravnitel-teoriya-i-eksperiment
nyuton-est-dejstvie-monoida | пример | анализ | алгебра-общая | Метод Ньютона поиска корня — действие свободного моноида $(ℕ,+)$ на ℝ: одна образующая = один шаг итерации | средняя | новый-взгляд | К2 | классиф | категория | несёт-язык | мат · берёт · seed | chain-rule-est-funktorialnost; monoid-odin-obekt; functor
i-i-minus-i-nerazlichimy | пример | алгебра-общая | — | i — корень из −1, но и −i тоже; по РОЛИ их не различить, мы выбираем один и не можем сказать какой | высокая-геометричная | новый-взгляд | К1 | формализовать | универсальное-свойство | несёт-язык | нп · берёт · seed | cheng-rol-vs-harakter; universalnoe-svojstvo; terminalnyj-obekt; troyka-obekt-cherez-svyazi
est-preobr-est-zamena-bazisa | пример | линейная-алгебра | — | Два функтора $Vect^f→Mat$ отличаются выбором базисов; естественное преобразование между ними — это матрица перехода из линала | средняя | новый-взгляд | К1 | формализовать | ест.преобр | несёт-язык | мат · берёт · seed | nat-transf; naturality-square; assoc-linal-vysshaya-algebra; mat-pervaya-kategoriya; dual-not-natural-proof
kvantory-kak-sopryazhennye | пример | логика | теория-множеств | $∃x ⊣ p^{-1} ⊣ ∀x$: кванторы существования и всеобщности — левый и правый сопряжённые к взятию прообраза вдоль проекции | средняя | новый-взгляд | К2 | аналогия | за-бортом | за-потолком | мат · приручение · seed | adjunction; floor-ceiling; motivation-floor-ceiling; mot-gde-zhivet-vasha-logika
polovina-yabloka | пример | теория-групп | комбинаторика | Половинки яблока не равны, а изоморфны, и Z/2 их переставляет: деление = фактор по СВОБОДНОМУ действию группы, 6/2=3 как орбиты | средняя | новый-взгляд | К1 | формализовать | эквивалентность | несёт-язык | нп · берёт · seed | chto-ne-kategorificiruetsya; kategorifikaciya-arifmetiki; dekategorifikaciya-teryaet
smeshenie-cvetov-reshetka | пример | алгебра-общая | теория-чисел | Смешение красок задаёт порядок с join = цвет смеси; по Биркгофу он и порядок делимости — одна структура (включение множеств) | высокая-геометричная | новый-взгляд | К2 | классиф | универсальное-свойство | несёт-язык | нп · берёт · seed | chum-kategoriya; predel-opredelenie; kopredel-opredelenie; cheng-analogii-i-otnosheniya
lineinaya-so-sdvigom-ne-funktor | пример | алгебра-общая | анализ | $f(x)=ax$ сохраняет сложение и есть функтор моноида $(ℕ,+)$ в себя, а «тоже линейная» $ax+b$ — уже нет | средняя | новый-взгляд | К1 | классиф | функтор | несёт-язык | мат · берёт · seed | functor; chain-rule-est-funktorialnost; karta-est-funktor
interesnye-otkazy-cheng | находка | теория-множеств | методика-курса | §7.8 Ченг — готовая коллекция НЕ-примеров на быту: где ломаются рефлексивность, симметрия, транзитивность, и как чинятся | средняя | новый-взгляд | К1 | формализовать | категория | несёт-язык | нп · берёт · seed | cheng-analogii-i-otnosheniya; chum-kategoriya; kategoriya-opredelenie; pryamye-rejsy-ne-kategoriya
kub-hofshtadtera-teni | сцена | геометрия | — | Объект с обложки «Гёделя, Эшера, Баха» даёт тени G, E, B; тени объект не определяют — одних проекций для произведения мало | высокая-геометричная | нет | К1 | формализовать | произведение | несёт-язык | нп · берёт · seed | galiley-proizvedenie; proizvedenie-opredelenie; universalnoe-svojstvo; scena-dve-teni
komanda-i-slabejshij | пример | прикладное | алгебра-общая | «Команда сильна как слабейший» — верно ли для МАТЕРИАЛОВ? Есть ли морфизм предпорядков «входит в состав» → «прочнее» | средняя | нет | К1 | формализовать | функтор | несёт-язык | нп · берёт · seed | chum-kategoriya; functor; invariant-vynosit-verdikt
stulya-na-koncerte | пример | теория-множеств | комбинаторика | Хватит ли стульев на концерт — не считают ни людей, ни стулья, а просят всех сесть: изоморфизм примитивнее числа | средняя | новый-взгляд | К2 | формализовать | эквивалентность | несёт-язык | нп · берёт · seed | pochemu-do-izo; dekategorifikaciya-teryaet; kategorifikaciya-arifmetiki; polovina-yabloka
sfera-shar-okruzhnost-v-set | пример | топология | теория-множеств | Сфера, шар и окружность ИЗОМОРФНЫ как голые множества точек; вся разница живёт в том, какие отображения разрешены | высокая-геометричная | новый-взгляд | К1 | классиф | категория | несёт-язык | мат · берёт · seed | pochemu-do-izo; kategoriya-opredelenie; botinki-i-noski
implikaciya-est-eksponenta | находка | логика | — | Универсальное свойство экспоненты выпадает из модус поненса: формуле годятся и «самозванцы», настоящий $A⇒B$ — самый верхний | средняя | новый-взгляд | К1 | формализовать | экспонента | несёт-язык | мат · берёт · seed | eksponenta-opredelenie; universalnoe-svojstvo; heyting-vyrozhdennyj-ccc; dva-vhoda-v-ccc; chl
princip-vzryva-daet-terminalnyj | пример | логика | — | Из принципа взрыва следует, что Ложь — наименьший объект, а Истина — наибольший: начальный и терминальный объекты | средняя | новый-взгляд | К1 | формализовать | нач/терм-объект | несёт-язык | мат · берёт · seed | terminalnyj-obekt; nachalnyj-obekt; mot-gde-zhivet-vasha-logika; iskl-tretie-lomaetsya
himicheskie-seti-funktor | пример | прикладное | анализ | Сеть Петри со скоростями — синтаксис, система ДУ — семантика; между ними моноидальный функтор, и ДУ сети склеиваются из кусков | средняя | нет | К2 | короче | функтор | за-потолком | мат · приручение · seed | functor; predel-opredelenie; kategoriya-opredelenie
yazyk-est-funktor | пример | информатика-и-типы | линейная-алгебра | DisCoCat — моноидальный функтор «грамматика-прегруппа → векторные значения слов»; он склеивает смысл ПРЕДЛОЖЕНИЯ из кусков | средняя | нет | К1 | перенос | функтор | за-потолком | мат · приручение · seed | functor; mazur-obekt-set-otnoshenij; troyka-obekt-cherez-svyazi; cheng-rol-vs-harakter
fibonacci-nepreryvnyj-funktor | пример | теория-чисел | — | $\gcd(F_n,F_m)=F_{\gcd(n,m)}$ — Фибоначчи есть функтор на ЧУМе делимости, сохраняющий пределы (НОД = произведение) | высокая-геометричная | новый-взгляд | К1 | классиф | функтор | несёт-язык | мат · берёт · seed | functor; predel-opredelenie; chum-kategoriya; chain-rule-est-funktorialnost
dinamika-est-funktor-vremeni | пример | анализ | физика | Динамическая система — это функтор из времени: дискретная из моноида $(ℕ,+)$, непрерывная из $(ℝ,+)$ | средняя | новый-взгляд | К3 | классиф | функтор | несёт-язык | мат · берёт · seed | functor; monoid-odin-obekt; nyuton-est-dejstvie-monoida; kategoriya-opredelenie
suhoj-list-s-pizy | находка | физика | методика-курса | Галилей знал: сухой лист с башни из-за ветра «падает вверх» — это не опровержение теории, а граница идеализации | средняя | нет | нет | нет | контекст-без-языка | контекст | нп · берёт · seed | kategorifikaciya-arifmetiki; spyashchij-mladenec-kompoziciya
diagonal-kantora-daet-godelya | утверждение | логика | теория-множеств | Диагональ Кантора категорно в категории с произведениями даёт неподвижную точку, а из неё — Гёделя, Рассела и Тарского | высокая-геометричная | новый-взгляд | К1+К2 | короче | произведение | несёт-язык | мат · приручение · seed | proizvedenie-opredelenie; kategoriya-opredelenie; iskl-tretie-lomaetsya; mot-gde-zhivet-vasha-logika
klany-volka-i-medvedya | пример | теория-множеств | — | Сортировка по полу вместе с сортировкой по клану даёт одно отображение в ПРОИЗВЕДЕНИЕ (этнография брачных правил) | средняя | нет | нет | нет | произведение | несёт-язык | нп · берёт · seed | proizvedenie-opredelenie; universalnoe-svojstvo; chum-kategoriya
skomkannaya-karta | сцена | топология | геометрия | Скомкать карту города и уронить внутрь этого же города — найдётся точка карты ровно над местом, которое она изображает | высокая-геометричная | незнакомый-объект | К1 | нет | контекст-без-языка | контекст | нп · берёт · seed | kategoriya-opredelenie; sfera-shar-okruzhnost-v-set
nno-arifmetika-rekursiej | пример | теория-чисел | теория-категорий | Из УС NNO выводятся школьные сложение и умножение — рекурсивными равенствами, за полстраницы (Awodey Ex. 9.41) | средняя | новый-взгляд | К1+К2 | формализовать | NNO | несёт-язык | мат · берёт · черновик | nno; recursion-nno; verdict-nno-adres; kategorifikaciya-arifmetiki; scene-nno-staircase; mot-otkuda-sigma
nno-initial-rig | утверждение | алгебра-общая | теория-множеств | ℕ = начальное полукольцо (rig), FinSet₀ — его категорификация; «ring without negatives» объясняет, почему вычитание не категорифицируется | средняя | новый-взгляд | К2 | аналогия | универсальное-свойство | контекст | мат · приручение · черновик | nno; kategorifikaciya-arifmetiki; chto-ne-kategorificiruetsya; dekategorifikaciya-teryaet; verdict-nno-adres
opora-kombinatorika-l3 | находка | комбинаторика | методика-курса | Комбинаторика уже в курсе: у Ловера 2³=8 считается перебором, а закон степеней студент выводит из школьного ПРАВИЛА ПРОИЗВЕДЕНИЯ | средняя | новый-взгляд | К1 | счёт | экспонента | несёт-язык | мат · берёт · черновик | eksponenta-2v3; zakon-stepenej-karrirovanie; kategorifikaciya-arifmetiki; verdict-shkolnye-opory; opora-kombinatorika-potolok
opora-kombinatorika-potolok | находка | комбинаторика | — | Настоящая комбинаторика в корпусе есть — species, производящие функции, Каталан через B=1+xB² — но она выше зала: потолок, не опора | средняя | незнакомый-объект | нет | нет | за-бортом | за-потолком | мат · вне · черновик | opora-kombinatorika-l3; kategorifikaciya-arifmetiki; nno-initial-rig; verdict-shkolnye-opory
chain-rule-est-funktorialnost | пример | анализ | линейная-алгебра | Цепное правило ЕСТЬ функториальность производной: функтор D: Euclid∗→Mat через матрицу Якоби; в 1D — школьное (g∘f)′=g′(f(a))·f′(a) | средняя | новый-взгляд | К1 | аналогия | функтор | несёт-язык | мат · берёт/приручение · черновик | functor; mat-pervaya-kategoriya; verdict-shkolnye-opory; motivation-EM; lawvere-exponenta-motivaciya
opora-mnogochleny-l7 | пример | алгебра-общая | — | R[x] = свободное кольцо на одном образующем, его УС — буквально подстановка x↦a; цена входа — слайд про кольцо | средняя | новый-взгляд | К2 | формализовать | универсальное-свойство | несёт-язык | мат · приручение/берёт · черновик | adjunction; free-forgetful-vect; unit-counit; verdict-shkolnye-opory; representable; hom-functor
rosetta-baez-svyaznaya-kartina | находка | логика | информатика-и-типы | Розетта Баэза–Стэя: одна таблица-переводчик объект/морфизм/композиция между множествами, программами, процессами и доказательствами | средняя | нет | К2 | аналогия | КХЛ | несёт-язык | нп · берёт · черновик | chl; curry-howard-lambek; throughline-kolco-vvedeniya; motivation-hom-language
assoc-linal-vysshaya-algebra | затравка | линейная-алгебра | методика-курса | Линал — единственная твёрдая опора зала и дом почти всех примеров введения: Mat, транспонирование, производная, гомологии графа, колчаны | средняя | нет | нет | нет | контекст-без-языка | контекст | мат · берёт · черновик | mat-pervaya-kategoriya; transpose-contravariant; chain-rule-est-funktorialnost; free-vect-monad; gomologii-grafa-funktor-vect; assoc-graf-so-strelkami-kolchan; galua-verdikt
assoc-ordinaly-maclane | затравка | теория-множеств | — | Ординалы (Маклейн гл.I) — знакомый счёт, продолженный за бесконечность; кандидат в зоопарк как ч.у.м.-категория; владельцу понравились | высокая-геометричная | незнакомый-объект | нет | нет | контекст-без-языка | контекст | мат · приручение · черновик | chum-kategoriya; kategorifikaciya-arifmetiki
assoc-topologiya-razlichit-figury | затравка | топология | — | Топология на пальцах — меню «различить фигуры инвариантом»: χ, узлы, π₁, TQFT; всё тизерами, функтор Hₙ только называем | высокая-геометричная | незнакомый-объект | К1 | классиф | функтор | несёт-язык | нп · берёт · черновик | eulerova-harakteristika-razlichit; raskraska-3-uzla-verdikt; kobordizmy-kameo; gomologii-grafa-funktor-vect; invariant-vynosit-verdikt
assoc-graf-so-strelkami-kolchan | затравка | линейная-алгебра | комбинаторика | Колчан = ориентированный граф; представление = функтор Q→Vect; теорема Габриэля: конечно неразложимых ⟺ диаграмма Дынкина ADE | высокая-геометричная | незнакомый-объект | К2 | классиф | функтор | несёт-язык | мат · приручение · черновик | gomologii-grafa-funktor-vect; assoc-linal-vysshaya-algebra; functor
gomologii-grafa-funktor-vect | пример | линейная-алгебра | комбинаторика | Гомологии графа из ОДНОЙ матрицы инцидентности над 𝔽₂: H₁=ker∂, H₀=coker∂, dim H₀=#компонент, dim H₁=E−V+C; топология не нужна | высокая-геометричная | новый-взгляд | К2 | перенос | функтор | несёт-язык | мат · берёт · черновик | assoc-linal-vysshaya-algebra; eulerova-harakteristika-razlichit; assoc-graf-so-strelkami-kolchan; functor; invariant-vynosit-verdikt
raskraska-3-uzla-verdikt | пример | топология | — | 3-раскраска узла: три мелка и локальное правило на перекрёстках — школьник СТРОГО доказывает, что трилистник завязан | высокая-геометричная | незнакомый-объект | К1 | классиф | функтор | несёт-язык | нп · берёт · черновик | invariant-vynosit-verdikt; assoc-topologiya-razlichit-figury; eulerova-harakteristika-razlichit
eulerova-harakteristika-razlichit | пример | топология | комбинаторика | χ различает фигуры (сфера≠тор) и считается школьником; одинаковый χ не доказывает ничего; χ=dim H₀−dim H₁ — тень функтора гомологий | высокая-геометричная | новый-взгляд | К1 | классиф | функтор | несёт-язык | мат · берёт · черновик | gomologii-grafa-funktor-vect; assoc-topologiya-razlichit-figury; raskraska-est-strelka; dekategorifikaciya-teryaet
galua-verdikt | пример | теория-групп | алгебра-общая | Галуа как вердикт: симметрии корней решают, разрешимо ли уравнение в радикалах (A₅ проста ⇒ квинтика нет); Q(√2,√3) — две зеркальные решётки | высокая-геометричная | незнакомый-объект | К1 | классиф | эквивалентность | несёт-язык | мат · берёт · черновик | invariant-vynosit-verdikt; assoc-linal-vysshaya-algebra; dvojstvennost-princip
ekvivalentnost-primery-vp-boole | пример | линейная-алгебра | логика | Эквивалентность категорий: конечномерные в.п. ≃ матрицы (выбор базиса = выбор эквивалентности); FinBool ≃ FinSet^op — детский Стоун | средняя | новый-взгляд | К1 | формализовать | эквивалентность | несёт-язык | мат · берёт · черновик | dvojstvennost-princip; mat-pervaya-kategoriya; assoc-linal-vysshaya-algebra; throughline-kolco-vvedeniya
raskraska-est-strelka | пример | комбинаторика | — | Правильная k-раскраска графа = гомоморфизм G→K_k, хроматический многочлен = число элементов Hom(G,K_k); это НЕ функтор в Vect (само-поправка) | средняя | новый-взгляд | нет | нет | категория | контекст | мат · берёт · черновик | gomologii-grafa-funktor-vect; eulerova-harakteristika-razlichit; functor
rosetta-tablica-baez-stay | находка | логика | информатика-и-типы | Первоисточник Розетты на диске: столбцы Logic+Computation — буквально КХЛ (∧=произведение, ⇒=функц.тип); читаем картезиански, не моноидально | средняя | новый-взгляд | К2 | аналогия | КХЛ | несёт-язык | нп · берёт · черновик | rosetta-baez-svyaznaya-kartina; chl; curry-howard-lambek; throughline-kolco-vvedeniya; kobordizmy-kameo; motivation-hom-language
