# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V0448	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Раздел остался крайне загадочным — непонятно, что написано	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 4 — §12, круг Поллака как источник биекций, Прюфер/Жуаяль/Питман, строки 41–41	текст	замечание	ПЕРЕСКАЗ: остался **крайне загадочным** — непонятно, что написано
V0449	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Гипотезы надо либо проверять, либо отметать; рабочий объект показывать раньше	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 4 — §12, круг Поллака как источник биекций, Прюфер/Жуаяль/Питман, строки 41–41	процедура	замечание	ПЕРЕСКАЗ: такие гипотезы проверять или отметать … объект «дерево с 2 концами» стоит показать раньше
V0450	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Теорема идейно непонятна, потому что автор не расписал её самостоятельно	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 4 — §12, круг Поллака как источник биекций, Прюфер/Жуаяль/Питман, строки 41–41	текст	замечание	ПЕРЕСКАЗ: идейно непонятна; я так и не расписал её самостоятельно
V0451	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Нужна логика, как одна конструкция вырастает из другой	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 4 — §12, круг Поллака как источник биекций, Прюфер/Жуаяль/Питман, строки 41–41	структура лекции	замечание	ПЕРЕСКАЗ: нужна логика, как одно вырастает из другого
V0452	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Общий принцип можно вводить без мотивировки, а конкретные конструкции сейчас «с неба»	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 4 — §12, круг Поллака как источник биекций, Прюфер/Жуаяль/Питман, строки 41–41	текст	замечание	ПЕРЕСКАЗ: «вместо деревьев думаем про леса» — общий принцип; а Жуаяль и Прюфер сейчас с неба
V0453	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Приравнивание «в лоб» убивает мотивацию	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#ПРАВИЛО НАРРАТИВА (durable, из Зам. 2а), строки 51–51	процедура	спорное	ПЕРЕСКАЗ: Приравнивание «в лоб» убивает мотивацию.
V0454	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	Приоритет владельца — переходить к плану следующей части	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Сделано в эту сессию, строки 68–68	процедура	спорное	ПЕРЕСКАЗ: Приоритет владельца — перейти к плану Мира 1
V0455	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Аналогия нужна буквальная, не «похоже»	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 76–76	текст	замечание	нужна буквальная, не «похоже»; строить от Мира 1
V0456	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Раздел стоит не на месте, возможно переместить	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 76–76	структура лекции	замечание	§6 стоит не на месте — из §5 в §7 прямой путь, §6 отступление; возможно переместить.
V0457	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Правило: связь двух объектов — заход с двух сторон	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 78–78	процедура	замечание	Правило: связь двух объектов — заходить с двух сторон (площадь/промах), площадь можно определить иначе
V0458	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Нужный сюжет не упомянут — надо его внести	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 78–78	структура лекции	спорное	Перестановки Кнута (стек-сортируемые) не упомянуты — надо, в Мире 1
V0459	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Смущает независимость статистики от меток	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 78–78	математика	спорное	Смущает: площадь не зависит от меток.
V0460	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Конструкция прикручена без связи — доказать совпадение или доказывать для неё	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 80–80	текст	замечание	Теорема 5 доказана для второй, первая прикручена без связи. Доказать совпадение или доказывать Т5 для первой
V0461	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Раздел крайне загадочен	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 82–82	текст	замечание	§12 крайне загадочен.
V0462	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Гипотезу — проверить или отмести	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 82–82	процедура	замечание	проверить/отмести; возможно, живёт в Мире 1
V0463	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Сторона теоремы идейно непонятна	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 82–82	текст	замечание	Теорема 7 сторона парковки идейно непонятна.
V0464	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md	(сырой текст) Принцип можно давать немотивированно, но конкретные конструкции «с неба» — плохо	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Приложение — сырой текст замечаний владельца, строки 82–82	текст	замечание	Питман можно немотивированно (деревья→леса — принцип); Жуаяль/Прюфер сейчас с неба.
V0465	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Отталкиваться от конкретных задач — это правильно	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 3–3	структура лекции	замечание	идея отталкиваться от конкретных задач — очень правильная
V0466	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Объекты не должны появляться из ниоткуда — они должны быть ответом на вопрос	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 3–3	структура лекции	замечание	пути Дика не должны появляться из ниоткуда
V0467	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Правильный объект может входить не с самого начала	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 5–5	структура лекции	замечание	Случайное блуждание как объект — тоже правильная история, но оно может возникнуть не с самого начала.
V0468	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Плохо, когда заход сразу выбрасывает в общий мир и потом придётся возвращаться назад	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 7–7	структура лекции	замечание	проблема в том, что он сразу отправляет нас в каталановский мир … И потом нам придётся возвращаться назад, когда мы говорим про числа Каталана.
V0469	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Порядок подачи: от узкого к широкому — идеи более общего контекста идут позже	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 9–9	структура лекции	замечание	а есть формулы и идеи, которые работают в более широком контексте, — возможно, это и есть более правильный путь
V0470	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Первую лекцию начинать с комбинаторики, без теории вероятностей	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 11–11	структура лекции	замечание	правильнее всего на первой лекции начать вопрос просто с комбинаторики, без теории вероятностей
V0471	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Возможно, отдать этому целиком всю первую лекцию	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 15–15	структура лекции	замечание	Может быть, посвятить этому всю первую лекцию.
V0472	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Начинать не обязательно с теории вероятностей — можно с комбинаторного вопроса	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 17–17	структура лекции	замечание	никто не заставляет начинать именно с теории вероятностей — можно начать с комбинаторного вопроса, которым здесь интересовался Гаусс
V0473	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Если к доказательству не удаётся подойти мотивированно — его нормально вырезать	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 19–19	процедура	замечание	Если сложно придумать, как мотивированно подойти к этому доказательству, то, в принципе, это можно вырезать — кажется, это нормально.
V0474	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Порядок: начать с простого, потом вероятностные задачи, новый класс объектов получить, решая задачу	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 21–21	структура лекции	замечание	начал, например, с задачи о подсчёте голосов и, решая её, получил бы новый класс объектов, обобщающий предыдущие
V0475	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Повторяет как самое важное: хочется отталкиваться от конкретных задач	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 23–23	структура лекции	замечание	очень важная мысль, которую я упустил в прошлом ответе, — это то, что хочется отталкиваться от конкретных задач
V0476	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Сюжет не влезает — тратить на него время неправильно	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 25–25	структура лекции	замечание	арксинус здесь не влезает, и, наверное, неправильно тратить на него время
V0477	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Если появится место — первый кандидат назван	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 25–25	структура лекции	замечание	первый кандидат — это всё-таки биномиальные коэффициенты и идея производящих функций в целом
V0478	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Добавки идут наслоением, но всё должно сшиваться в единый мир	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 27–27	структура лекции	замечание	они идут вместе как некое наслоение над основным курсом — но всё должно сшиваться в единый мир
V0479	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md	Короче — это плюс	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 27–27	структура лекции	замечание	То, что наш курс будет покороче, — это плюс.
V0480	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Численную проверку делать не нужно	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 3–3	процедура	замечание	Я думаю, что не нужно проверять что-то численное.
V0481	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	В первую очередь — точечно доресёрчить мосты между двумя мирами	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 3–3	процедура	замечание	стоит доресерчить точечно потенциальные мосты между двумя этими мирами
V0482	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Смотреть, видны ли в ранней лекции вещи из поздней, и переносимо ли доказательство	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 3–3	процедура	замечание	посмотреть, можно ли увидеть в первой лекции какие-то моменты, которые мы обсуждаем во второй лекции … ещё раз обсудить, можно ли одно доказательство перенести в другую область
V0483	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Возвращает свой прежний вопрос, на который не ответили	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 5–5	математика	спорное	это то, что я спрашивал про циклическую лемму на уровне деревьев
V0484	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Все аналогии идей должны быть продуманы	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 7–7	процедура	замечание	все эти аналогии идей должны быть продуманы.
V0485	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Новую математику не изобретаем — ищем существующее	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 7–7	процедура	замечание	мы сами их не придумываем и не пытаемся изобрести новую математику — мы пытаемся найти что-то существующее
V0486	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Оценить по всей карте, где мосты могли бы быть, и поискать их	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 7–7	процедура	замечание	Важно самому оценить, посмотрев на всю карту, которая у нас сейчас есть, где эти мосты могли бы быть, и поискать их.
V0487	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Делать это сейчас, а не перед лекцией: найденное меняет карту	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 9–9	процедура	замечание	если что-то будет найдено сейчас, это может повлиять на всю ситуацию в будущем — на карту, которую мы пишем
V0488	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Список кандидатов выбирать самому и искать то, что ещё не искал	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 11–11	процедура	замечание	Ты можешь сам выбрать главный список кандидатов на потенциальные мосты и поискать то, что ещё не искал. … Может быть, стоит запустить небольшой круг ресерча.
V0489	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Всё записывать; найденное годное должно быть записано как то, к чему обязательно вернутся	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 13–13	процедура	замечание	очень важно всё записывать … это должно быть записано — то, к чему мы обязательно должны вернуться
V0490	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Формат подачи не понимает: список абзацев ему непонятен	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 15–15	текст	замечание	сам не понимаю формат изложения, который ты здесь сделал — этот список абзацев мне не очень понятен
V0491	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Без объяснения терминов он не может решить, брать сюжет или нет	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 15–15	текст	замечание	я не понимаю, что это, не понимаю задачу про стопку кирпичей, поэтому не могу определить, стоит это брать или нет
V0492	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Чтобы получить от него решение — рассказать ему или дать текст в HTML на просмотр	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 19–19	процедура	замечание	если ты хочешь от меня чего-то, может быть, стоит мне это рассказать … стоит просто написать какой-то текст в итоге в HTML — я на него посмотрю и попробую оценить
V0493	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Две разные задачи одновременно: текст курса сейчас и база материалов на будущее	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 21–21	процедура	замечание	у нас есть две разные задачи: с одной стороны, мы прямо сейчас пишем текст курса, а с другой стороны — на будущее готовим некий список материалов
V0494	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Все находки обязательно вносить в картотеку; терять нельзя ни в коем случае	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 23–23	процедура	замечание	надо обязательно записывать все наши находки — в любом случае вносить в нашу картотеку … это всё ни в коем случае нельзя терять — везде как-то отмечать все эти идеи
V0495	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md	Отбор в курс он сделает по написанному тексту: прочитает и скажет, что убедительно	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 25–25	процедура	замечание	я смогу понять, когда ты напишешь какой-то текст: я его прочитаю и скажу, что убедительно, а что нет
V0496	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Такие обобщения не нужны — названные объекты не то, что нужно	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 1–1	структура лекции	замечание	такие обобщения чисел Каталана нам скорее не нужны … числа Фусса-Каталана и s-Каталана мне кажутся не тем, что нужно, честно говоря. И пути Лукасевича тоже не то, что нужно.
V0497	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Уточняет, что имел в виду под своим термином — его поняли не так	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 3–3	математика	спорное	мы поворачиваем обычную сетку и говорим не про диагональ
V0498	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Уточняет свою терминологию сбалансированного и несбалансированного случая	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 5–5	математика	спорное	в сбалансированном случае, который я называю сбалансированным, у нас N шагов вверх и N шагов вниз, а в несбалансированном может быть, например, 7 шагов вверх и 3 шага вниз
V0499	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Объект без простой естественной задачи, которая к нему приводит, ему не нужен	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 7–7	структура лекции	замечание	можно всегда придумать какой-то другой объект, похожий на тот, который уже исследовался, но другой. Но я не понимаю, зачем этим заниматься … не понимаю простой, естественной задачи — например, вероятностной, — которая к ним приводит
V0500	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Опять не понял условия задачи из описания, хотя она выглядит разумной	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 9–9	текст	замечание	про задачу о кирпичах я опять не до конца понял, в чём состоит условие, но выглядит, что это разумно
V0501	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Зацепок найдено меньше, чем хотелось бы	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 13–13	иное	замечание	мне кажется, их всё ещё не так много, как хотелось бы
V0502	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md	Один точечный заход за «бриллиантами»; не нашлось — на этом остановиться	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 15–15	процедура	замечание	Я бы запустил какой-то очень точечный заход, чтобы найти какие-то реально бриллианты, которые могут изменить игру … Если такого не найдётся за один точный, но не слишком глубокий заход, тогда, может быть, стоит на этом остановиться.
V0503	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md	Составление карточек должно стать стандартом и включаться само — как хук после ресёрча	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md#(разделов нет, сплошной текст владельца), строки 1–1	процедура	замечание	эта история про составление карточек, которую я сейчас делал, должна стать стандартом и работать автоматически — как хук, который включается сам после того, как мы что-то ресерчим
V0504	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md	Описания скачанной литературы — такая же обязательная дисциплина	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md#(разделов нет, сплошной текст владельца), строки 3–3	процедура	замечание	Точно так же как записи, описания скачанной литературы — это должно быть важной дисциплиной.
V0505	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md	То, что это иногда не делается, — большая проблема	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md#(разделов нет, сплошной текст владельца), строки 5–5	процедура	замечание	То, что мы иногда этого не делаем, — на самом деле большая проблема.
V0506	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md	Прописать в документации проекта, что это обязательные вещи	catalan/zhurnal/2026-07-05_mir1/zamechaniya-disciplina-kartochek.md#(разделов нет, сплошной текст владельца), строки 7–7	процедура	замечание	Надо прописать это в документации. … туда и нужно прописать, что это обязательные вещи
V0507	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Не бежать вперёд по фазам — довести текущую фазу до идеала	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-10 — Фаза II доведена до пакетов + верификация (поправка Вани), строки 27–27	процедура	замечание	ПЕРЕСКАЗ: Ваня поправил курс: НЕ бежать в Фазу I; довести Фазу II до идеала — документация + промты под
V0508	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Строгость изложения — не глобальный дефолт, её решает интервью каждый раз	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-10 — Фаза II доведена до пакетов + верификация (поправка Вани), строки 36–36	процедура	замечание	(Ваня: «решает интервью каждый раз»)
V0509	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Алгоритм должен быть «почти как Python»: жёсткие шаги, развилки, каждый шаг в своём чате	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-10 — Фаза II закрыта (алгоритм + склейка + решения); хэндофф, строки 45–45	процедура	замечание	очень чёткий алгоритм «почти как Python» — жёсткие шаги, развилки, точки взаимодействия с владельцем, ИИ идёт шаг-в-шаг, каждый в своём чате
V0510	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Крупную сборку делать отдельной фокус-сессией, а не в текущем чате	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-10 — Фаза II закрыта (алгоритм + склейка + решения); хэндофф, строки 50–50	процедура	замечание	**Сборка — отдельной фокус-сессией**, не в этом чате
V0511	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Источник истины — markdown, HTML только вид, пересборка Python-скриптом без токенов	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 73–73	процедура	замечание	источник истины = **markdown** (быстро/дёшево править содержание), **HTML = вид**, пересборка markdown→HTML — **Python-скриптом, без токенов**
V0512	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Один источник истины на всех стадиях — от интервью до финала	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 73–73	процедура	замечание	ОДИН источник истины на ВСЕХ стадиях (интервью → растущий источник → раскадровка → финал)
V0513	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Устный текст лектора не ограничен по объёму; бюджет слов — только на письменное	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 78–78	текст	замечание	устный регистр — текст рассказа МОЖЕТ быть большим/неограниченным (лектор дораскажет голосом); бюджет слов — ТОЛЬКО для ПИСЬМЕННОГО (что на слайде, влезает в объём слайда)
V0514	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Раскадровка — самый дешёвый минимальный HTML-вид, чтобы глазами проверить, влезает ли текст	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 79–79	визуал	замечание	раскадровка = самый дешёвый минимальный HTML-вид, чтобы глазами проверить, как сидит текст/влезает
V0515	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Строгость спрашивать явно — она зависит от аудитории	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 82–82	процедура	замечание	строгость — спрашивать явно, зависит от аудитории (спектр: строгий спецкурс ↔ научпоп)
V0516	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	База визуального канона — buffon, а не dandelin: dandelin был пробным и «разъехался»	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 83–83	визуал	замечание	база канона = BUFFON** (не dandelin). Buffon — стандарт (совпадает с Canva-шаблоном и остальными референсами); dandelin был первым пробным, «разъехался»
V0517	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Решение «тема не тянет» — не автоматика, а чекпоинт с владельцем	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 85–85	процедура	замечание	no-go «тема не тянет» — чекпоинт владельцу (на этой стадии диалог)
V0518	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Хочу видеть, как выглядит, пока правлю	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — решение по структуре движков + дизайн doc-движка, строки 96–96	процедура	замечание	Требование владельца: «видеть, как выглядит, пока правишь» — цикл md→Python-пересборка→смотрю HTML
V0519	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Формат текста не изобретать — взять из его собственных лекционных текстов	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — грунтовка формата Фазы I по живым текстам владельца, строки 101–101	текст	замечание	Владелец: НЕ изобретать формат — взять из его лекционных текстов
V0520	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Скиллы разобрать внутрь фабрики, не держать снаружи	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — брейншторм Фазы I + большие решения; переход в новый чат, строки 109–109	процедура	спорное	скиллы ВНУТРЬ, не в прод (кроме код+3D)
V0521	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md	Термины — не скилл-триггер, а per-project список плюс шаг сверки	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — брейншторм Фазы I + большие решения; переход в новый чат, строки 109–109	процедура	замечание	Термины → per-project документ-список + шаг сверки (не скилл-триггер, это был баг на Каталане)
