# id	ЧИСЛО	АДРЕС	ЦИТАТА
V0002	27 минут репетиции на 4 слайда — темп прохода дека	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 38–38	запись уже, к сожалению, 27 минут, хотя мы всего на четвертом слайде
V0439	1 строка на пункт, 0,5 строки на комментарий	teorkat-vvedenie/repeticia/PRAVKI.md#РЕШЕНИЯ ВЛАДЕЛЬЦА, ДОПИСАННЫЕ АНАЛИТИКОМ 29.07, строки 723–723	ПЕРЕСКАЗ: Это то же правило перечня: пункт — строка, комментарий — максимум полстроки.
V0441	один случай, расписанный математически, а не «по аналогии»	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 1 — §5 (цикл-лемма) и место §6 (площадь), строки 11–11	ПЕРЕСКАЗ: Аналогия «это похоже на циклическую лемму» слаба. … расписанная математически в ОДНОМ случае
V0446	две конструкции путь→дерево в одном абзаце	catalan/zhurnal/2026-07-03_programma-kursa/zamechaniya-statya-mir2.md#Замечание 3 — §7: две конструкции биекции путь↔дерево (потерянное утверждение), строки 31–	ПЕРЕСКАЗ: Не нравится абзац «на практике». … Так нельзя: либо доказать, что две процедуры дают одно дерево, либо доказывать Теорему 5 для первой.
V0471	одна лекция целиком на один сюжет	catalan/zhurnal/2026-07-05_mir1/zamechaniya-L1-process-first.md#(разделов нет, сплошной текст владельца), строки 15–15	Может быть, посвятить этому всю первую лекцию.
V0493	две задачи, идущие параллельно	catalan/zhurnal/2026-07-05_mir1/zamechaniya-mosty-kartoteka.md#(тело расшифровки), строки 21–21	у нас есть две разные задачи: с одной стороны, мы прямо сейчас пишем текст курса, а с другой стороны — на будущее готовим некий список материалов
V0498	N вверх / N вниз против 7 вверх / 3 вниз — его собственный пример	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 5–5	в сбалансированном случае, который я называю сбалансированным, у нас N шагов вверх и N шагов вниз, а в несбалансированном может быть, например, 7 шагов вверх и 3 шага вниз
V0502	один заход — лимит на поиск, после которого останавливаемся	catalan/zhurnal/2026-07-05_mir1/zamechaniya-issledovanie-idei.md#(разделов нет, сплошной текст владельца), строки 15–15	Я бы запустил какой-то очень точечный заход, чтобы найти какие-то реально бриллианты, которые могут изменить игру … Если такого не найдётся за один точный, но не слишком глубокий заход, тогда, может быть, стоит на этом о
V0512	1 источник истины на все стадии	_studio/zhurnal/2026-07-10_sborka-konvejera/SESSIYA.md#2026-07-11 — владелец комментирует развилки (переосмысления + решения), строки 73–73	ОДИН источник истины на ВСЕХ стадиях (интервью → растущий источник → раскадровка → финал)
V0526	2 стороны канваса (верх/низ)	_studio/zhurnal/2026-07-11_fibonacci-kurs/SESSIYA.md#2026-07-11 — приёмка + разворот в перевёрстку Л1 (Cowork-сессия), строки 20–20	каждое утверждение = двусторонний **canvas** ВЕРХ/НИЗ; зоны разделены ФОНОМ без подписей; соответствие — ВЫРАВНИВАНИЕМ (образ под клеткой)
V0529	5 задач в лекции 1	_studio/zhurnal/2026-07-11_fibonacci-kurs/SESSIYA.md#2026-07-11 — приёмка + разворот в перевёрстку Л1 (Cowork-сессия), строки 22–22	Скоуп решён: **Лекция 1 = задачи 1–5** (с запасом на занятие)
V0539	5 малых примеров (1,1,2,3,5)	_studio/zhurnal/2026-07-11_fibonacci-kurs/SESSIYA.md#2026-07-11 — глаз владельца на v1 + со-разработка формата (Cowork, продолжение), строки 38–38	поток: замощение → полоска 1×n → выписать ВСЕ малые примеры (1,1,2,3,5) → гипотеза Фибоначчи → рекуррента → доказательство
V0540	поворот на 90° вместо смены размера	_studio/zhurnal/2026-07-11_fibonacci-kurs/SESSIYA.md#2026-07-11 — глаз владельца на v1 + со-разработка формата (Cowork, продолжение), строки 39–39	ЛЕВАЯ картинка — доминошки разного размера (гориз/верт); одинаковые, поворот на 90°
V0542	2 колонки; n=5 для примеров	_studio/zhurnal/2026-07-11_fibonacci-kurs/SESSIYA.md#2026-07-11 — глаз владельца на v1 + со-разработка формата (Cowork, продолжение), строки 41–41	звезду убрать → ДВЕ КОЛОНКИ (слева список объектов, справа узкая голубая колонка — примеры каждого при n=5)
V0553	переставлялись занятия 2 и 3	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/SESSIYA.md#2026-07-11 — приёмка ресёрча, отбор, сбор материалов, строки 11–11	Предложенную перестановку 2↔3 (оптику раньше) владелец отклонил — за чередование
V0555	4 лекции вместо 8 тем	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/SESSIYA.md#2026-07-11 — РАЗВОРОТ: мини-курс на 4 лекции вокруг формулы Эйлера, строки 20–20	Владелец сузил замысел: полный 8-темный курс НЕ делаем. Геометрия = **4 лекции**, идут ПОСЛЕ перерыва
V0556	6 класс — уровень аудитории	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/SESSIYA.md#2026-07-11 — РАЗВОРОТ: мини-курс на 4 лекции вокруг формулы Эйлера, строки 21–21	**Убрано из курса:** оптика (эллипсы сложны 6 кл), оригами (есть отдельное оригами-мероприятие), закон кв-куба (масштаб/измерение — чужд нити)
V0557	1 инвариант на весь курс	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/SESSIYA.md#2026-07-11 — РАЗВОРОТ: мини-курс на 4 лекции вокруг формулы Эйлера, строки 22–22	один инвариант В−Р+Г, БЕЗ углов и измерений (геометрия положения)
V0558	3 лекции при сжатии	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/SESSIYA.md#2026-07-11 — РАЗВОРОТ: мини-курс на 4 лекции вокруг формулы Эйлера, строки 22–22	при желании ужать до 3 — раскраски свернуть в Л1
V0560	4 лекции в мини-курсе	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/SESSIYA.md#2026-07-11 — РАЗВОРОТ: мини-курс на 4 лекции вокруг формулы Эйлера, строки 25–25	4-лекционный мини-курс должен быть максимально консистентным — одна нить наращивается, не набор тем (слова владельца)
V0561	4 занятия вместо 5	_studio/zhurnal/2026-07-11_informacia-i-kody/SESSIYA.md#2026-07-11 — kickoff: якоря, залоченный дизайн, ветвление «ресёрч задач», строки 28–28	ПЕРЕСКАЗ: 4 лекции, не 5.
V0569	~час+ самостоятельной работы	_studio/zhurnal/2026-07-11_informacia-i-kody/SESSIYA.md#2026-07-12 — формат уточнён (кружок-листок), листок Л1 собран из problems.ru, строки 58–58	ПЕРЕСКАЗ: кружок — листок с большой подборкой задач, ~час+ самостоятельно + устная сдача, почти без теории, мягкий вход … Лекционная раскладка отменена.
V0577	7 PDF	_studio/zhurnal/2026-07-11_reserch-zadach/SESSIYA.md#2026-07-11 — dry-run, разворот на строгий алгоритм, строки 27–27	ПЕРЕСКАЗ: корпус (7 PDF) оставлен спящим (слово владельца)
V0580	4 ступени градации	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — разговор-первым: состав и тайминг Л2 зафиксированы, строки 16–16	**Объём/градация** — как Л1: разминка / простые / средние / «гробы».
V0581	~6–7 задач в среднем	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — обратная связь Л1 + разворот Л2 в «лекция + простые упражнения», строки 26–26	ПЕРЕСКАЗ: один сильный школьник решил всё, кроме одной задачи … остальные в среднем ~6–7 задач — хорошая зона. Итог: результат хороший.
V0584	6 класс	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — обратная связь Л1 + разворот Л2 в «лекция + простые упражнения», строки 28–28	ПЕРЕСКАЗ: Лекцию вести С комментарием, «не пережёстить» (без комментария 6 кл не поймёт — темы теории информации обычно дают старше).
V0597	3 роли	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — уточнение: ядро = разрешающие ДЕРЕВЬЯ, взвешивания ВХОДЯТ, строки 61–61	Роли задач подписывать ЯВНО: [разбор вместе] / [сам] / [подумать] — владельцу было непонятно, где какая задача решается.
V0599	~20 мин рассказа	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — КОНЕЦ СЕССИИ (хэндофф) + рефлексия в канон, строки 67–67	ПЕРЕСКАЗ: урок открывается **~20-мин рассказом** … НАЙТИ упрощения для 6 кл — «реально погуглить»
V0600	~10 задач; 2 породы	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — КОНЕЦ СЕССИИ (хэндофф) + рефлексия в канон, строки 67–67	листок ~10 уровня Л1, **две породы задач** — «придумай способ сделать быстро» (много) и «придумай ОПТИМАЛЬНЫЙ способ» (меньше, сложнее), с гробами.
V0603	решение уровня ~8 кл при доступности 6 кл	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-12 — разворот владельца: материализован полный список условий + найдена книга Кноп, строки 83	идеал гроба — взвешивание с ПРОСТЫМ условием и ТРУДНЫМ (~8 кл) решением, доступное 6 кл к пониманию; можно вкрутить игру/стратегию
V0607	больше 30 мин — предел лекции-обсуждения	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-13 — Л2 ПРОВЕДЕНО: обратная связь владельца + разворот на Л3, строки 115–115	ПЕРЕСКАЗ: дети в конце сразу убегают … **Формат-факт: лекцию-обсуждение >получаса 6-классники не держат** → вводную резать.
V0608	~2–3 знакомых задачи на ребёнка	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-13 — Л2 ПРОВЕДЕНО: обратная связь владельца + разворот на Л3, строки 117–117	в среднем каждый уже слышал ~2–3 из них; **лампочки #60900 знали ВСЕ** (очень известная)
V0610	13 задач — много; 30 мин вводная; ~час на решение	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-13 — Л2 ПРОВЕДЕНО: обратная связь владельца + разворот на Л3, строки 118–118	**13 задач — много**: 30 мин съела вводная, на решение ~час → мало кто продвинулся. Целить меньше числом, но свежее.
V0612	~8 занятий в курсе	_studio/zhurnal/2026-07-12_l2-skolko-informacii/SESSIYA.md#2026-07-13 — Л2 ПРОВЕДЕНО: обратная связь владельца + разворот на Л3, строки 120–120	в курсе ~8 занятий, timing гибкий — «не страшно», если завершение съедет за перерыв
V0621	40-я минута — порог, после которого зал не должен «умирать»	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 — АУДИТ ПРОГРАММЫ (владелец попросил честный) + приёмка отчёта №2, строки 162–162	человек с линейной алгеброй не умирает на 40-й минуте
V0638	три области-исключения из школьных опор	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 2) — вердикт Riehl принят · блокер снят пополам · аналитик снова нарушил свой же 	Не тянем: комбинаторику, многочлены, начала матанализа
V0652	1.5 часа и 2 часа — длительность лекции, оба названы «очень много»	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	Полтора часа — это **очень много**. Два часа — очень много, **потому что не так просто придумать, что там два часа рассказывать**
V0653	40–60 сцен, ~30 слайдов, ~1 вычисление — на одну лекцию	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	40–60 сцен · ~30 слайдов · ~1 вычисление на лекцию
V0655	перерыв на три недели в параллельном курсе (он начался ≈15.07)	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	У них **параллельно будет идти курс по теории типов**, программу которого **я могу прислать полностью**
V0662	промежуток между третьей и девятой лекцией (≈6 лекций) — разрыв, после которого узнавания 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	если это маленький сюжет. **Люди про него забудут.** Надо будет **заново рассказать**. Но два раза рассказывать — тоже законно.
V0665	20 минут — длина экскурса в линейную алгебру	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	отличный заход на 20 минут в линейную алгебру, такую бескоординатную, полезную для всех
V0666	20 минут — на разбор незнакомого залу понятия	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	не узнаваемо, но разберём за 20 минут
V0667	12 из 12 вопросов интервью — ни один вариант не выбран	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-17 (ход 9) — БОЛЬШОЕ ИНТЕРВЬЮ. 12 вопросов, и ни один не был про то, про что я думал, стр	ПЕРЕСКАЗ из двенадцати предложенных владельцу вариантов ответа, все вида «дать слайд или срезать», прибор не выбрал ни одного — трижды он переопределил сам вопрос
V0672	90 минут — длительность лекции, названа «много»	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/SESSIYA.md#2026-07-18, 05:23 (ход 20) — ФИНАЛЬНЫЙ НОЧНОЙ. Принимать нечего (4-й раз). КОНСОЛИДАЦИЯ нашла то,	90 минут — это много
V0675	4 дня (занятия) — раскладка задач по ним	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-16 (вечер) — получен оригинал 1970; дедлайн = завтра; порядок работ подтверждён владельцем, строки	сначала ресёрч по источникам → отбор материала → небольшой рассказ ДЛЯ МЕНЯ, чтобы разобраться → потом прикинуть, какие задачи в какие из 4 дней и с чего начать
V0677	10–12 мин показа в конце; лекция больше 30 мин не держится; 75 мин разбора держатся, если 	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-16 (поздний вечер) — план УТВЕРЖДЁН; добор задач; листок Л1 собран, строки 80–80	показ — финалом, а не вводной
V0707	5 лёгких задач в мини-листке	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер) — ⭐ ВИДЖЕТ «СТРЕЛКА + ТОЧКА» СОБРАН, строки 225–225	**отдельный мини-листок на 5 лёгких задач**
V0738	5 → 4 задачи в мини-листке	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 8) — мини-листок Л2. Заказ оказался пустым множеством, владелец поймал повтор первы	пять задач совершенно не обязательно, можно и четыре оставить
V0760	12 школьников в группе; «все семь» — 7 задач	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 17) — условия 23–29 и ещё четыре вкладки. Занятие завтра, строки 585–585	что значит все семь? у нас 12 школьников, можно вывести что-то на слайд
V0762	7 задач в листочном формате — отвергнуто	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	мы не хотели же давать задачки кроме разбора… ещё 7 задач в таком формате мы не хотим, это был второй листок
V0764	40–60 минут на самостоятельное решение в начале занятия	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	40–60 минут дети решают то, что уже на руках
V0779	2 часа — общая длительность лекции при основной части в полтора часа	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	«но там много вопросов, много обсуждений, поэтому реально мы заранее считаем, что она идёт 2 часа»
V0780	90 минут — плотное наполнение слайдов, с запасом до 2 часов	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	«если окажется, что у нас так много сюжетов, что они в 90 минут не влезают, значит просто буду быстрее рассказывать»
V0782	30–45 слайдов на лекцию, ≈3 минуты на слайд	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	ПЕРЕСКАЗ расчёт формата, записанный со слов владельца: слайд ≈ 3 минуты, у некоторых слайдов внутри несколько сцен, текста на слайде немного, рассказ плотный, отсюда около 30 слайдов, от 30 до 45
V0783	10 минут — перерыв в середине двухчасовой лекции	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	ПЕРЕСКАЗ решение владельца о формате: перерыв 10 минут в середине — скорее делаем
V0802	8 источников и 15 задач — планки, снятые владельцем; он допускает, что реально найдётся вс	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 224–233	не нужно ограничиваться в поиске восемью источниками, и 15 задач тоже неправильно — их может быть гораздо больше
V0807	2,5 часа — длительность, которую аналитик записал рядом с этой репликой	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 235–249	«будем сидеть пока сидится»
V0858	20 минут — начало лекции, самый сложный для проектирования кусок	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-27 — Ф1, круг 4: диагноз потерь, линия и гейт, строки 674–684	«Про первые 20 минут лекции — это вообще самый сложный вопрос. Возможно, стоит вопрос подвесить и сначала собрать всю оставшуюся часть лекции, а потом вернуться к началу.»
V0859	7 разделов — много, 4 — идеально	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-27 — Ф1, круг 4: диагноз потерь, линия и гейт, строки 692–695	семь пунктов — это очень много, все забудут. Четыре — идеально. Но должна быть чёткая классификация, чтобы сразу понятно было, куда что относится.
V0868	10 частей, ~30 кусочков, 10 минут на кусок, 3–4 слайда на кусок	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#Сессия 28.07 — Ф2, вход во внешнее, строки 902–908	ПЕРЕСКАЗ названная владельцем траектория: размеченный список, потом HTML-текст на прочтение, потом дробление лекции не на 4 части, а сначала на ~10, потом на ~30 кусочков с разделами и подпунктами; 10 самоценных десятими
V0871	1 слайд на микро-историю длиной 10 минут или меньше	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#Сессия 28.07 — Ф2, вход во внешнее, строки 965–973	«это один слайд: несколько примеров, потом выдаём общую концепцию»
V0872	30–45 слайдов — второй раз названная владельцем планка объёма	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#Сессия 28.07 — Ф2, вход во внешнее, строки 975–977	«у нас есть зарезервированный слайд из 30–45, вот один слайд точно есть»
V0880	5–8 групп в одной порции разбора	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#Сессия 28.07 — Ф2, вход во внешнее, строки 1056–1064	ПЕРЕСКАЗ форма разбора, к которой владелец дважды возвращал аналитика: порция 5–8 групп, не больше; разворачивать содержание, а не имя, потому что владелец корпус не помнит и одно имя = потерянный ход; обязательно называ
V0882	1 слайд вместо 3 на трёхкратно повторённый приём	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#Сессия 28.07 — Ф2, вход во внешнее, строки 1066–1072	«Ретрактная связка — это не три слайда. Это один раз объяснить конструкцию подробно, второй раз объяснить быстро, третий раз просто назвать теорему. Это грубо один слайд, на котором может быть несколько сцен. Или не обяз
V0883	21 сюжет — состав, который по оценке владельца помещается в лекцию	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#Сессия 28.07 — Ф2, вход во внешнее, строки 1066–1072	надо брать эти 21 сюжет и просто дальше с ними работать
V0893	третья лекция — место, где по этому антипаттерну впервые возникает нетривиальное утвержден	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — SEED КАЛИБРОВКИ: наговорённый текст владельца, строки 31–32	Рассказ про категории должен быть не таким: вот сейчас мы определили категории, потом обсудили морфизмы
V0894	первая лекция — срок, к которому вопрос обязан появиться	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — SEED КАЛИБРОВКИ: наговорённый текст владельца, строки 34–35	Хотелось бы, чтобы на первой лекции уже была история про то, что мы получаем вопрос, естественный для человека, которого я описал.
V0895	две минуты — время на формулировку задачи в анонсе	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 2: ответы на C1–C3. Критерий сдвинулся сильно, строки 87–88	Я могу написать в анонсе формулировку задачи за две минуты, и любой человек поймёт задачу, поймёт вопрос.
V0897	ноль упоминаний слова «категории» в анонсе	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 2: ответы на C1–C3. Критерий сдвинулся сильно, строки 91–92	Я хочу написать анонс, в котором слова „категории“ не будет.
V0902	вторая половина первой лекции — граница, после которой законна внутренняя мотивация	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 2: ответы на C1–C3. Критерий сдвинулся сильно, строки 116–117	начиная с какого-то момента — условно, со второй половины первой лекции — мотивация уже может быть внутрикатегорной, если перед этим категории мотивированы самостоятельно
V0915	десятки — нижняя граница; несколько сотен примеров на четыре лекции	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 4: назван ЦЕНТРАЛЬНЫЙ ОБЪЕКТ первого блока и red-flag-критерий, строки 255–256	Десятки примеров — это ограничение снизу, на четыре лекции их, наверное, должно быть несколько сотен.
V0923	каждая лекция — частота упражнений	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 5: владелец поправил направление интервью + критерий упражнения, строки 296–297	Мне кажется, такие вопросы должны быть на каждой лекции. Довольно очевидно, что на математической лекции должны быть упражнения.
V0930	было 9 лекций, стало 4 или даже 3 — при большей программе	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 6: дух. Зрение / жанр / «въедливый плотный», строки 334–334	у меня было девять лекций на не очень большую программу, а они захотели четыре или даже три — на очень большую
V0932	в три раза больше времени у слабого слушателя	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 6: дух. Зрение / жанр / «въедливый плотный», строки 336–336	Если он не очень крутой, он будет смотреть видео, смотреть слайды и потратит на это в три раза больше времени.
V0935	одна вершина на лекцию; там же назван объём «условно шесть часов и больше» и двухчасовые л	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 7: правка манифеста. Требование КОНКРЕТИКИ, строки 373–374	По идее, в каждой лекции должна быть вершина, но можно распределять не обязательно равномерно.
V0949	15–20 упражнений в листке на каждой лекции	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 8: правка по пунктам. Главный тезис оказался ДРУГИМ, строки 417–418	листок из 15–20 упражнений
V0957	требование, чтобы все критерии отбора имели числовую норму	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 9: типология аналогий как ИНСТРУМЕНТ ОТБОРА + курс критериев на числа, строки 454–	лучше всего чтобы они были прям численными, чтобы по ним можно было прогонять сюжеты
V0973	отвергнут порог «три линии»	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 13: ⭐⭐ ДВЕ БОЛЬШИЕ ИДЕИ + линии определены владельцем + поправка мне, строки 656–6	Я думаю, что линий должно быть не три, а очень много.
V0976	четыре лекции, примерно 6 часов, от 6 до 8 часов	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 14: ⭐⭐⭐ ГОРИЗОНТ ЗАКРЫТ + инварианты через мощности (сильнейший результат арки), с	Может быть, от 6 до 8 часов.
V0979	уровень доступности — первокурсник (там же: «доступны первокурснику»)	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 15: ⭐⭐⭐ КРИТЕРИЙ ПОИСКА НАЙДЕН — главный результат арки, строки 749–749	тексты, в которых категории возникают на не очень глубоком уровне, в каких-то других вспомогательных базовых математических конструкциях
V1001	пять вопросов на лекцию, по 10–15 минут каждый	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 20: ⭐⭐ АРХИТЕКТУРА Л1 (гипотеза) — пять мини-арок и определение в конце, строки 92	не один вопрос про комбинаторику, а пять
V1006	90 минут лекции, 88 из них на примеры	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 20: ⭐⭐ АРХИТЕКТУРА Л1 (гипотеза) — пять мини-арок и определение в конце, строки 94	Ты произносишь это слово впервые в конце, потратив из 90 минут 88 на подробное объяснение примеров.
V1013	два часа — во столько может растянуться один сюжет	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-19 — РАУНД 22: вердикты по доступности + консолидация + переход, строки 1014–1014	нужно очень аккуратно обсуждать, потому что в принципе там можно и
V1016	четыре лекции — граница блока	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-20 — РАУНД 25: горизонт закрыт окончательно + архитектура мега-захода, строки 1110–1110	мы готовим начальный кусок курса, который очерчен на границе примерно первых 4 лекций по прошлому плану, но туда добавляем функторы, естественные преобразования, эквивалентности
V1025	три лекции, четвёртая — как проблема, а не как опция	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-20 — РАУНД 29: рамка блока названа, заказана карта понятий, строки 1217–1217	не при желании, а с некоторой проблемой, если не будем успевать
V1029	отказ от минут как единицы измерения объёма; мерить числом теорем и материалом	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-20 — РАУНД 29: рамка блока названа, заказана карта понятий, строки 1227–1227	В минутах всегда неправильно получается: когда мы с тобой считаем, всегда по-разному
V1030	шесть часов — объём курса-введения, для которого нужна карта	_studio/zhurnal/2026-07-20_teorkat-motivacia/SESSIYA.md### 2026-07-20 — РАУНД 29: рамка блока названа, заказана карта понятий, строки 1230–1230	это действительно составить карту вот этого шестичасового курса-введения: что там вообще есть, а чего нет
V1060	раз в неделю — заявленная владельцем периодичность вычистки git-инцидентов	_studio/zhurnal/2026-07-30_dovodka-fabriki/SESSIYA.md### 2026-07-31, ~07:10 — 🔴 предпосылка владельца про git проверена по живым файлам и НЕ подтвердилась. Зато	мы их вычищаем условно раз в неделю, и в целом получается хорошо, эффективно; в последнее время что-то стало лучше
V1070	50 — верхняя граница числа слайдов в лекции	_studio/zhurnal/2026-07-30_dovodka-fabriki/SESSIYA.md### 2026-07-31, ~19:10 — владелец снял сборку лекции и назвал настоящую цель: ПОЛНОТА внесения, строка 409	меньше пятидесяти слайдов
V1071	750 — знаков в колонке	_studio/zhurnal/2026-07-30_dovodka-fabriki/SESSIYA.md### 2026-07-31, ~19:10 — владелец снял сборку лекции и назвал настоящую цель: ПОЛНОТА внесения, строка 409	750 знаков в колонке
